ID,adj.P.Val,P.Value,F,Gene.symbol
203989_x_at,0.00000206,3.77E-11,68.64989,F2R
1552735_at,0.00007674,3.40E-09,41.1047,PCDHGA4
235106_at,0.00007674,4.21E-09,40.09304,MAML2
224164_at,0.00014879,1.54E-08,34.39294,TPM3
219249_s_at,0.00014879,1.59E-08,34.25629,FKBP10
222848_at,0.00014879,1.71E-08,33.95468,CENPK
204860_s_at,0.00014879,2.07E-08,33.18511,NAIP
236966_at,0.00014879,2.41E-08,32.59693,ARMC8
220331_at,0.00014879,2.45E-08,32.52591,CYP46A1
242372_s_at,0.00020278,3.71E-08,30.934,MFSD4A
236677_at,0.00021237,4.54E-08,30.18523,NGB
228708_at,0.00021237,4.98E-08,29.84688,RAB27B
209835_x_at,0.00021237,5.98E-08,29.18331,CD44
211876_x_at,0.00021237,6.26E-08,29.02247,PCDHGA3///PCDHGA5///PCDHGA6///PCDHGA10///PCDHGA11///PCDHGA12///PCDHGC3
210916_s_at,0.00021237,6.39E-08,28.94783,CD44
1556047_s_at,0.00021237,6.81E-08,28.7222,MAGEE1
202075_s_at,0.00021237,7.22E-08,28.51524,PLTP
1570279_at,0.00021237,7.41E-08,28.42792,ABCA1
204730_at,0.00021237,7.56E-08,28.35675,RIMS3
219671_at,0.00021237,7.77E-08,28.2612,HPCAL4
207383_s_at,0.00024433,9.38E-08,27.61013,RHBDL1
220359_s_at,0.00027368,1.19E-07,26.81012,ARPP21
230781_at,0.00027368,1.22E-07,26.7185,LINC01088
232003_at,0.00027368,1.23E-07,26.70066,PNMAL2
208320_at,0.00027368,1.30E-07,26.52006,CABP1
233917_s_at,0.00027368,1.31E-07,26.49974,MOV10
201645_at,0.00027368,1.42E-07,26.23825,TNC
1557889_at,0.00027368,1.49E-07,26.06309,
228109_at,0.00027368,1.49E-07,26.05971,RASGRF2
215694_at,0.00027368,1.50E-07,26.04447,SPATA5L1
236207_at,0.00029179,1.65E-07,25.73122,SSFA2
212063_at,0.00029385,1.72E-07,25.60666,CD44
1560680_at,0.00031183,1.95E-07,25.20544,
225111_s_at,0.00031183,2.13E-07,24.92746,NAPB
218546_at,0.00031183,2.15E-07,24.90086,C1orf115
227425_at,0.00031183,2.23E-07,24.779,REPS2
1556006_s_at,0.00031183,2.27E-07,24.72693,CSNK1A1
201291_s_at,0.00031183,2.28E-07,24.71301,TOP2A
210559_s_at,0.00031183,2.30E-07,24.69454,CDK1
206384_at,0.00031183,2.31E-07,24.67763,CACNG3
202279_at,0.00031183,2.38E-07,24.58588,C14orf2
213268_at,0.00031183,2.40E-07,24.56274,CAMTA1
215241_at,0.00031221,2.54E-07,24.37603,ANO3
209200_at,0.00031221,2.55E-07,24.37183,MEF2C
220326_s_at,0.00031221,2.60E-07,24.31464,ARHGEF40
219368_at,0.00031221,2.76E-07,24.12978,NAP1L2
203358_s_at,0.00031221,2.79E-07,24.09655,EZH2
212976_at,0.00031221,2.82E-07,24.0648,LRRC8B
1560297_at,0.00031221,2.84E-07,24.03778,
236714_at,0.00031221,2.89E-07,23.99003,
211458_s_at,0.00031221,2.91E-07,23.96363,GABARAPL3///GABARAPL1
1555875_at,0.00031301,3.01E-07,23.86209,SRGAP1
209099_x_at,0.00031301,3.03E-07,23.83932,JAG1
221901_at,0.00031702,3.19E-07,23.69047,KIAA1644
200859_x_at,0.00031702,3.19E-07,23.68931,FLNA
212012_at,0.00032076,3.29E-07,23.6,PXDN
242405_at,0.00032525,3.46E-07,23.44405,
204489_s_at,0.00032525,3.60E-07,23.3269,CD44
212880_at,0.00032525,3.60E-07,23.32683,WDR7
201292_at,0.00032525,3.66E-07,23.27569,TOP2A
239757_at,0.00032525,3.68E-07,23.25879,ZFAND6
221510_s_at,0.00032525,3.74E-07,23.21138,GLS
238061_at,0.00032525,3.84E-07,23.13911,LGI3
235486_at,0.00032525,3.86E-07,23.11899,KIAA1549L
214735_at,0.00032525,3.92E-07,23.07388,IPCEF1
225165_at,0.00032525,3.93E-07,23.07058,PPP1R1B
234807_x_at,0.00032893,4.03E-07,22.99322,
210276_s_at,0.00032893,4.09E-07,22.94984,NOL12///TRIOBP
211241_at,0.00033262,4.26E-07,22.83116,ANXA2P3
202395_at,0.00033262,4.29E-07,22.80906,LOC101930324///NSF
206731_at,0.00033262,4.32E-07,22.791,CNKSR2
212014_x_at,0.00033749,4.44E-07,22.70799,CD44
205345_at,0.00033821,4.61E-07,22.60462,BARD1
207714_s_at,0.00033821,4.64E-07,22.58147,SERPINH1
213413_at,0.00033821,4.73E-07,22.52543,STON1
213219_at,0.00033821,4.77E-07,22.50584,ADCY2
224801_at,0.00033821,4.86E-07,22.44919,NDFIP2
1569500_at,0.00033821,4.92E-07,22.41431,
214553_s_at,0.00033821,4.93E-07,22.40708,ARPP19
204162_at,0.00033821,4.95E-07,22.39734,NDC80
211250_s_at,0.00034205,5.11E-07,22.3036,SH3BP2
210222_s_at,0.00034205,5.15E-07,22.28017,RTN1
222920_s_at,0.00034205,5.25E-07,22.22813,TESPA1
58780_s_at,0.00034205,5.31E-07,22.19312,ARHGEF40
212624_s_at,0.00034205,5.32E-07,22.19134,CHN1
242029_at,0.00034215,5.43E-07,22.13163,
238699_s_at,0.00034215,5.46E-07,22.11857,CASK
235227_at,0.00034215,5.51E-07,22.09172,STXBP5
223340_at,0.00035291,5.74E-07,21.97187,ATL1
235985_at,0.00035564,5.85E-07,21.91845,
227926_s_at,0.00035887,6.06E-07,21.81977,NBPF20
214752_x_at,0.00035887,6.09E-07,21.80858,FLNA
206481_s_at,0.00035887,6.13E-07,21.78937,LDB2
201020_at,0.00035887,6.21E-07,21.75395,YWHAH
1569952_x_at,0.00035887,6.25E-07,21.73398,SDCBPP2
212013_at,0.00035887,6.36E-07,21.6835,PXDN
1557617_at,0.00035887,6.37E-07,21.68241,DCTN1-AS1
240105_at,0.00036726,6.58E-07,21.58907,
243691_at,0.00036775,6.66E-07,21.55708,
204506_at,0.0003766,6.89E-07,21.46293,PPP3R1
238966_at,0.00038334,7.08E-07,21.38609,CELF4
205635_at,0.00038882,7.30E-07,21.30266,KALRN
222729_at,0.00038882,7.39E-07,21.26926,FBXW7
221865_at,0.00038882,7.50E-07,21.22811,TMEM268
225060_at,0.00038882,7.51E-07,21.22237,LRP11
239930_at,0.00038882,7.54E-07,21.21351,GALNT2
219918_s_at,0.00039084,7.65E-07,21.17343,ASPM
204753_s_at,0.00041269,8.15E-07,20.99894,HLF
214788_x_at,0.00041547,8.30E-07,20.95096,DDN
206196_s_at,0.00041547,8.36E-07,20.93058,RUNDC3A
212709_at,0.00042166,8.64E-07,20.84103,NUP160
238982_at,0.00042166,8.75E-07,20.80527,DENR
239465_at,0.00042166,8.88E-07,20.76649,
207035_at,0.00042166,8.91E-07,20.75819,SLC30A3
219532_at,0.00042166,9.00E-07,20.73021,ELOVL4
214376_at,0.00042166,9.00E-07,20.72926,MAPK10
203442_x_at,0.00042166,9.02E-07,20.72301,EML3
204589_at,0.00042166,9.27E-07,20.64978,NUAK1
229160_at,0.00042166,9.35E-07,20.62681,MUM1L1
226167_at,0.00042166,9.39E-07,20.61696,SYT7
209877_at,0.00042166,9.43E-07,20.60563,SNCG
209442_x_at,0.00042166,9.50E-07,20.58332,ANK3
230000_at,0.00042166,9.56E-07,20.56744,RNF213
232720_at,0.00042166,9.62E-07,20.55057,LINGO2
217656_at,0.00042166,9.64E-07,20.54499,
229551_x_at,0.00042557,9.87E-07,20.48073,ZNF367
235225_at,0.00042557,9.89E-07,20.47772,SCN2B
230303_at,0.00043547,1.03E-06,20.35748,SYNPR
228144_at,0.00043547,1.04E-06,20.34254,ZNF300
1557239_at,0.00043547,1.04E-06,20.33428,BBX
219895_at,0.00043547,1.04E-06,20.33359,TMEM255A
244745_at,0.00043674,1.05E-06,20.30562,RERG
230644_at,0.00043691,1.06E-06,20.28452,LRFN5
214293_at,0.00043747,1.07E-06,20.26125,SEPT11
205257_s_at,0.00044209,1.10E-06,20.19612,AMPH
231771_at,0.00044209,1.10E-06,20.19409,GJB6
211276_at,0.00044441,1.12E-06,20.14707,TCEAL2
237561_x_at,0.00044441,1.13E-06,20.11786,
229392_s_at,0.00044441,1.14E-06,20.10629,PIK3R2
224035_s_at,0.00044441,1.14E-06,20.10367,BCL2L13
219148_at,0.00044525,1.16E-06,20.06444,PBK
239978_at,0.00044525,1.16E-06,20.06132,
213746_s_at,0.00044566,1.17E-06,20.04041,FLNA
212928_at,0.00045094,1.19E-06,19.98224,TSPYL4
231986_at,0.00045094,1.20E-06,19.96639,RIMS1
203159_at,0.00045094,1.21E-06,19.95052,GLS
235278_at,0.00045094,1.21E-06,19.93701,MACROD2
227669_at,0.0004562,1.24E-06,19.88122,MPC2
202007_at,0.0004562,1.25E-06,19.85835,NID1
208509_s_at,0.0004562,1.26E-06,19.84127,OR7A17
218678_at,0.0004562,1.27E-06,19.82213,NES
220092_s_at,0.0004562,1.27E-06,19.81922,ANTXR1
238521_at,0.00045832,1.28E-06,19.79005,FGF12
208779_x_at,0.00045839,1.30E-06,19.76459,MIR4640///DDR1
218806_s_at,0.00045839,1.30E-06,19.75579,VAV3
218755_at,0.00045981,1.31E-06,19.73104,KIF20A
215700_x_at,0.00046054,1.33E-06,19.69844,CPNE6
1561146_at,0.00046054,1.33E-06,19.69385,VPS35
201895_at,0.00046373,1.35E-06,19.65955,ARAF
227909_at,0.00046437,1.36E-06,19.63973,SMIM10L2B///SMIM10L2A
236656_s_at,0.00046896,1.38E-06,19.59817,LOC100288911
234645_at,0.00047298,1.40E-06,19.5601,
214157_at,0.00047496,1.42E-06,19.5263,GNAS
1557852_at,0.00047496,1.42E-06,19.51767,PHC2
233888_s_at,0.00047776,1.45E-06,19.4781,SRGAP1
239765_at,0.00047776,1.45E-06,19.4713,CPEB3
205918_at,0.00048499,1.48E-06,19.41725,SLC4A3
212533_at,0.00048603,1.49E-06,19.39644,WEE1
219875_s_at,0.00051604,1.60E-06,19.21668,DESI2
232058_at,0.00051604,1.60E-06,19.21308,
1553349_at,0.00051859,1.62E-06,19.18446,ARID2
213421_x_at,0.00051859,1.65E-06,19.14564,PRSS3
1555474_at,0.00051859,1.65E-06,19.14533,TTLL3
211879_x_at,0.00051859,1.65E-06,19.14136,PCDHGA3
216306_x_at,0.00054472,1.74E-06,19.00242,MIR4745///PTBP1
216268_s_at,0.00054602,1.76E-06,18.98201,JAG1
226086_at,0.00055877,1.81E-06,18.90961,SYT13
228242_at,0.00057052,1.86E-06,18.84316,N4BP2
230998_at,0.00057158,1.88E-06,18.81856,CBX3
218259_at,0.00057158,1.89E-06,18.79617,MKL2
211806_s_at,0.00057158,1.89E-06,18.79308,KCNJ15
204490_s_at,0.00057158,1.91E-06,18.77521,CD44
232341_x_at,0.00057158,1.91E-06,18.76914,HABP4
239678_at,0.00057735,1.94E-06,18.7293,
228745_at,0.00057735,1.96E-06,18.70464,SGTB
203505_at,0.00057735,1.97E-06,18.70163,ABCA1
1560472_at,0.00057735,1.97E-06,18.68976,LINC00705
223933_at,0.00057735,1.99E-06,18.67581,KIF5A
210298_x_at,0.00057735,2.00E-06,18.66358,FHL1
230932_at,0.00058597,2.04E-06,18.61356,RNF130
238778_at,0.00060675,2.12E-06,18.51416,MPP7
200923_at,0.00061882,2.17E-06,18.45257,LGALS3BP
201746_at,0.00061885,2.18E-06,18.43963,TP53
1555920_at,0.00061944,2.20E-06,18.42453,CBX3
205277_at,0.00062214,2.22E-06,18.40078,PRDM2
202605_at,0.00062214,2.23E-06,18.38854,GUSB
216697_at,0.00062417,2.25E-06,18.36801,TRIO
